5GC000585 CFAM CP2   AEUB Nokia AirScale AAS 28 GHz,0,0
5GC000585 CFAM CP1   AEUB Nokia AirScale AAS 28 GHz,0,0
5GC000682 FS1TA   VVNF RAC on Third Party Infrastructure: Generic approach,0,0
5GC000682 CFAM CP3   VVNF RAC on Third Party Infrastructure: Generic approach,0,0
5GC000682 CFAM CP2   VVNF RAC on Third Party Infrastructure: Generic approach,0,0
"LTE4664 #1 6CC LAA configuration and data transmission   demo grade phase 1: w/o LTE4667, single UE, stationary scenario",1,1
LTE4603#1 FDD TDD LAA 3CC/4CC/5CC functionality (inter FDD+TDD sites),0,0
5GC000959 FS1TA   AEWE AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
5GC000959 CFAM CP3   AEWE AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
5GC000959 CFAM CP2   AEWE AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
5GC000959 CFAM CP1   AEWE AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
5GC001213 CFAM CP2   Transport Reference Configurations,0,0
5GC001213 CFAM CP1   Transport Reference Configurations,0,0
LTE4679 A#1 CBRS CA enhancement (Intra eNB TDD+TDD),26,1
LTE4603#2 FDD TDD LAA performance testing,0,0
5GC001187 CFAM CP1   Add on 5G Compact Baseband Unit,0,0
5GC000856 CFAM CP2   AEWD AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
5GC000856 CFAM CP1   AEWD AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
5GC000856 CFAM CP3   AEWD AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
"LTE4664 #2 6CC LAA configuration and data transmission   demo grade phase 2:  w/o LTE4667, single UE and advanced RRM mechanisms",1,1
5GC000856 FS1TA   AEWD AirScale MAA 2*2T2R 2*256AE 39 GHz 2*4 W,0,0
LTE4519#1 Additional FDD TDD Carrier Aggregation band combinations   VII ,0,0
5GC001197 CFAM CP3   Discontinuous Trans. and Recept. (DTRX) for Energy Efficiency,4,1
5GC001187 CFAM CP2   Add on 5G Compact Baseband Unit,0,0
5GC001187 CFAM CP3   Add on 5G Compact Baseband Unit,0,0
5GC001213 FS1TA   Transport Reference Configurations,0,0
5GC001213 CFAM CP3   Transport Reference Configurations,0,0
